Gene name	Transcript stable ID	Chromosome/scaffold name	Transcript start (bp)	Transcript end (bp)
GALNT6	ENST00000604426	12	51379546	51392867
CHST8	ENST00000604556	19	33621984	33744484
GALNT6	ENST00000604847	12	51379413	51391436
GALNT6	ENST00000605617	12	51379576	51391663
COG5	ENST00000605888	7	107527237	107563934
CTSA	ENST00000606000	20	45897626	45898627
CTSA	ENST00000606066	20	45891335	45892764
CTSA	ENST00000606394	20	45891313	45893299
CTSA	ENST00000606782	20	45892408	45893229
CTSA	ENST00000606788	20	45890144	45898820
CTSA	ENST00000607187	20	45896599	45897783
CTSA	ENST00000607212	20	45891357	45892454
CTSA	ENST00000607482	20	45891376	45892295
CTSA	ENST00000607814	20	45891355	45892372
CTSA	ENST00000607841	20	45891335	45892247
ARSA	ENST00000608497	22	50622754	50625656
LARGE1	ENST00000608642	22	33162226	33384227
LARGE1	ENST00000609799	22	33166734	33384227
LARGE1	ENST00000610186	22	33166005	33384227
GALNT12	ENST00000610463	9	98808003	98835355
GAL3ST2	ENST00000610560	CHR_HSCHR2_3_CTG15	241799065	241804208
ALG13	ENST00000610588	X	111681170	111760645
GNB1	ENST00000610897	1	1785285	1891117
SLC35E2B	ENST00000611123	1	1661479	1692728
ABO	ENST00000611156	9	133255176	133275214
MAN1C1	ENST00000611903	1	25617468	25786206
POFUT2	ENST00000612472	21	45263929	45287896
ALG9	ENST00000612489	11	111857602	111871581
TSTA3	ENST00000612580	CHR_HSCHR8_3_CTG7	143612618	143617566
SLC35A4	ENST00000612662	5	140564835	140569098
B3GALNT2	ENST00000612859	1	235463458	235504254
ALG9	ENST00000613181	11	111837539	111871546
NDST4	ENST00000613194	4	114827773	115113876
ST3GAL6	ENST00000613264	3	98732704	98795845
UGP2	ENST00000613823	2	63855419	63891558
NAGK	ENST00000613852	2	71068278	71078868
GBA	ENST00000613861	CHR_HSCHR1_2_CTG31	155249852	155256679
SLC35E2B	ENST00000614300	1	1659529	1692724
HPSE2	ENST00000614306	10	99232349	99235802
LFNG	ENST00000614382	7	2524648	2528427
ALG9	ENST00000614444	11	111786256	111871533
NPL	ENST00000614468	1	182794350	182830384
POFUT2	ENST00000615172	21	45263979	45277410
GALNT12	ENST00000615204	9	98837075	98844522
UGT2B10	ENST00000615213	CHR_HSCHR4_1_CTG9	68698370	68713573
GNB1	ENST00000615252	1	1785285	1891117
ALG8	ENST00000615266	11	78102894	78139653
SLC35B2	ENST00000615337	6	44254102	44257890
COG8	ENST00000615447	16	69339081	69339506
B3GALT5	ENST00000615480	21	39612940	39662888
CHST13	ENST00000615522	3	126524333	126542879
B3GAT2	ENST00000615536	6	70857213	70956429
SLC35A2	ENST00000616181	X	48904344	48911646
NEU4	ENST00000616490	CHR_HSCHR2_3_CTG15	241810932	241817412
ALG9	ENST00000616540	11	111782195	111871581
SULF1	ENST00000616868	8	69492793	69642296
COG3	ENST00000617325	13	45464898	45465658
SLC35E2B	ENST00000617444	1	1661478	1692795
COG3	ENST00000617493	13	45465005	45493936
GALNT15	ENST00000617544	3	16219400	16229745
GALE	ENST00000617979	1	23795599	23800754
HYAL1	ENST00000618175	3	50299890	50304087
ALG9	ENST00000618252	11	111849464	111871543
GBA	ENST00000618489	CHR_HSCHR1_2_CTG31	155249852	155260266
NEU4	ENST00000618597	2	241809193	241817409
CHST12	ENST00000618655	7	2403611	2448484
CHST9	ENST00000618847	18	26906481	27185308
NEU4	ENST00000618866	CHR_HSCHR2_3_CTG15	241810935	241817408
GALNT17	ENST00000618959	7	71335549	71713598
COG1	ENST00000618996	17	73192632	73208503
ALG9	ENST00000619129	11	111786281	111871560
SLC35B2	ENST00000619636	6	44254102	44257352
HS6ST3	ENST00000620595	13	96832488	96839560
HYAL3	ENST00000621157	3	50292832	50298831
SLC35F1	ENST00000621341	6	118154442	118317676
ALG13	ENST00000621367	X	111681170	111760645
UGGT2	ENST00000621375	13	95995911	96053482
ST6GALNAC3	ENST00000621530	1	76313800	76413003
NEU4	ENST00000621851	CHR_HSCHR2_3_CTG15	241809187	241817406
GMPPA	ENST00000622191	2	219499955	219506988
GALC	ENST00000622264	14	87963314	87993154
ST6GALNAC6	ENST00000622357	9	127885321	127905348
B4GALT3	ENST00000622395	1	161171311	161177968
SLC35A1	ENST00000622775	6	87477362	87511802
B3GNT6	ENST00000622824	11	77034398	77041973
ALG13	ENST00000622986	X	111681195	111685278
ALG13	ENST00000622997	X	111681170	111713261
ALG13	ENST00000623144	X	111681204	111760375
ALG13	ENST00000623148	X	111681267	111760256
ALG13	ENST00000623189	X	111681813	111688132
ALG13	ENST00000623255	X	111681234	111688097
ALG13	ENST00000624161	X	111681176	111760644
ALG13	ENST00000624881	X	111681179	111712493
NEU4	ENST00000625452	CHR_HSCHR2_3_CTG15	241809235	241816159
NEU4	ENST00000625706	CHR_HSCHR2_3_CTG15	241814017	241815000
RACK1	ENST00000626067	5	181240313	181243902
NEU4	ENST00000626195	CHR_HSCHR2_3_CTG15	241811397	241816374
NEU4	ENST00000626222	CHR_HSCHR2_3_CTG15	241809065	241816493
NEU4	ENST00000626326	CHR_HSCHR2_3_CTG15	241811425	241814982
NEU4	ENST00000626600	CHR_HSCHR2_3_CTG15	241811000	241817413
ABO	ENST00000626615	CHR_HG2030_PATCH	133255752	133275337
NEU4	ENST00000626675	CHR_HSCHR2_3_CTG15	241809193	241814932
UGT2B10	ENST00000627047	CHR_HSCHR4_1_CTG9	68698372	68713320
NEU4	ENST00000627724	CHR_HSCHR2_3_CTG15	241811396	241816456
HPSE2	ENST00000628193	10	98459317	99235862
CHST15	ENST00000628426	10	124019653	124092414
NEU4	ENST00000629521	CHR_HSCHR2_3_CTG15	241809193	241817408
NEU4	ENST00000629646	CHR_HSCHR2_3_CTG15	241811396	241814921
NEU4	ENST00000629786	CHR_HSCHR2_3_CTG15	241809193	241817409
COG6	ENST00000630730	13	39655727	39656149
NEU4	ENST00000630923	CHR_HSCHR2_3_CTG15	241808825	241817413
TSTA3	ENST00000631429	CHR_HSCHR8_3_CTG7	143614647	143617507
GPI	ENST00000631729	CHR_HSCHR19_2_CTG3_1	34365194	34377850
GPI	ENST00000631814	CHR_HSCHR19_2_CTG3_1	34364997	34368806
GPI	ENST00000631851	CHR_HSCHR19_2_CTG3_1	34364990	34377838
TSTA3	ENST00000632127	CHR_HSCHR8_3_CTG7	143612621	143613391
TSTA3	ENST00000632250	CHR_HSCHR8_3_CTG7	143614364	143617511
TSTA3	ENST00000632302	CHR_HSCHR8_3_CTG7	143615943	143617552
TSTA3	ENST00000632368	CHR_HSCHR8_3_CTG7	143614821	143618048
TSTA3	ENST00000632379	CHR_HSCHR8_3_CTG7	143614322	143617300
GPI	ENST00000632407	CHR_HSCHR19_2_CTG3_1	34365024	34381539
TSTA3	ENST00000632529	CHR_HSCHR8_3_CTG7	143612618	143614385
GPI	ENST00000632543	CHR_HSCHR19_2_CTG3_1	34365194	34377874
GPI	ENST00000632704	CHR_HSCHR19_2_CTG3_1	34364980	34381539
GPI	ENST00000632809	CHR_HSCHR19_2_CTG3_1	34365020	34377596
GAL3ST2	ENST00000632847	CHR_HSCHR2_3_CTG15	241799063	241804166
TSTA3	ENST00000632877	CHR_HSCHR8_3_CTG7	143615886	143617549
GPI	ENST00000633059	CHR_HSCHR19_2_CTG3_1	34364738	34381539
TSTA3	ENST00000633095	CHR_HSCHR8_3_CTG7	143614863	143616464
GPI	ENST00000633130	CHR_HSCHR19_2_CTG3_1	34365240	34381539
TSTA3	ENST00000633165	CHR_HSCHR8_3_CTG7	143613529	143617474
GPI	ENST00000633181	CHR_HSCHR19_2_CTG3_1	34359480	34366433
GPI	ENST00000633375	CHR_HSCHR19_2_CTG3_1	34359587	34366849
TSTA3	ENST00000633510	CHR_HSCHR8_3_CTG7	143614405	143616726
TSTA3	ENST00000633782	CHR_HSCHR8_3_CTG7	143612618	143617482
TSTA3	ENST00000633809	CHR_HSCHR8_3_CTG7	143613770	143617532
TSTA3	ENST00000633885	CHR_HSCHR8_3_CTG7	143612618	143613607
GPI	ENST00000633941	CHR_HSCHR19_2_CTG3_1	34365185	34377817
TSTA3	ENST00000633952	CHR_HSCHR8_3_CTG7	143612618	143617504
GPI	ENST00000634112	CHR_HSCHR19_2_CTG3_1	34359734	34368619
PIGA	ENST00000634286	X	15324786	15331723
SLC35A2	ENST00000634461	X	48906135	48911669
B3GALNT2	ENST00000634581	CHR_HSCHR1_5_CTG32_1	235458078	235474721
PIGA	ENST00000634582	X	15321325	15335544
PIGA	ENST00000634640	X	15321565	15335554
SLC35A2	ENST00000634665	X	48905398	48911646
SLC35A2	ENST00000635015	X	48905859	48911646
PIGA	ENST00000635045	X	15319456	15335523
B3GALNT2	ENST00000635195	CHR_HSCHR1_5_CTG32_1	235467249	235508045
PIGQ	ENST00000635205	16	578831	583455
SLC35A2	ENST00000635238	X	48905296	48911646
B3GALNT2	ENST00000635244	CHR_HSCHR1_5_CTG32_1	235468687	235508213
SLC35A2	ENST00000635285	X	48903180	48911651
B3GALNT2	ENST00000635360	CHR_HSCHR1_5_CTG32_1	235482699	235508216
B3GALNT2	ENST00000635453	CHR_HSCHR1_5_CTG32_1	235450981	235508243
SLC35A2	ENST00000635460	X	48903184	48911634
B3GALNT2	ENST00000635470	CHR_HSCHR1_5_CTG32_1	235483895	235488461
PIGA	ENST00000635480	X	15324732	15326383
B3GALNT2	ENST00000635483	CHR_HSCHR1_5_CTG32_1	235458003	235469590
PIGA	ENST00000635543	X	15331474	15335407
SLC35A2	ENST00000635589	X	48904312	48911646
PIGA	ENST00000635598	X	15319457	15335554
GMPPA	ENST00000635609	2	219498901	219504874
SLC35A2	ENST00000635628	X	48903184	48911646
PIGA	ENST00000635631	X	15319452	15330975
ASAH1	ENST00000635756	8	18056546	18062348
ASAH1	ENST00000635769	8	18062394	18084079
PIGQ	ENST00000635909	16	574332	584083
PIGQ	ENST00000635935	16	578291	580777
ASAH1	ENST00000635944	8	18056835	18084067
ASAH1	ENST00000635998	8	18056835	18084115
PIGQ	ENST00000636005	16	574707	583334
ASAH1	ENST00000636009	8	18056431	18083950
ASAH1	ENST00000636033	8	18056880	18084074
ASAH1	ENST00000636050	8	18056473	18084961
ASAH1	ENST00000636128	8	18056809	18084074
ASAH1	ENST00000636160	8	18056477	18084120
ASAH1	ENST00000636171	8	18056466	18084142
ASAH1	ENST00000636269	8	18066902	18083184
ASAH1	ENST00000636299	8	18062336	18084802
ALG13	ENST00000636363	X	111681179	111760583
DPAGT1	ENST00000636404	11	119096596	119100408
ASAH1	ENST00000636435	8	18063075	18084142
ASAH1	ENST00000636455	8	18057048	18084980
ASAH1	ENST00000636494	8	18056724	18084126
ASAH1	ENST00000636537	8	18066764	18084971
ASAH1	ENST00000636563	8	18056493	18064768
ASAH1	ENST00000636577	8	18056571	18084096
PIGQ	ENST00000636657	16	569981	584094
ASAH1	ENST00000636691	8	18056459	18083408
ASAH1	ENST00000636701	8	18056470	18084142
ASAH1	ENST00000636715	8	18066577	18084844
ASAH1	ENST00000636719	8	18061687	18062720
ASAH1	ENST00000636815	8	18056915	18084026
ASAH1	ENST00000636823	8	18062355	18082603
ASAH1	ENST00000636828	8	18064413	18084929
ASAH1	ENST00000636920	8	18056835	18084120
ASAH1	ENST00000636997	8	18056903	18084100
ASAH1	ENST00000637013	8	18056782	18084917
ASAH1	ENST00000637014	8	18056503	18062795
ASAH1	ENST00000637095	8	18056708	18084123
ASAH1	ENST00000637202	8	18065896	18084077
ASAH1	ENST00000637244	8	18056493	18084980
PIGA	ENST00000637296	X	15320359	15335523
ASAH1	ENST00000637343	8	18056488	18065124
ASAH1	ENST00000637429	8	18056771	18084971
PIGQ	ENST00000637468	16	574751	582893
ASAH1	ENST00000637484	8	18056802	18084998
ASAH1	ENST00000637528	8	18056459	18084073
ASAH1	ENST00000637561	8	18066763	18084148
ASAH1	ENST00000637603	8	18062340	18084080
ASAH1	ENST00000637609	8	18056462	18084091
PIGA	ENST00000637626	X	15319475	15335523
ASAH1	ENST00000637636	8	18056753	18084313
ASAH1	ENST00000637638	8	18064235	18084078
ASAH1	ENST00000637718	8	18062279	18076268
ASAH1	ENST00000637752	8	18056456	18059163
ASAH1	ENST00000637790	8	18055992	18084107
ASAH1	ENST00000637792	8	18067222	18084960
PIGA	ENST00000637799	X	15325970	15328243
ASAH1	ENST00000637805	8	18066890	18084817
ASAH1	ENST00000637857	8	18056503	18069816
ASAH1	ENST00000637872	8	18066767	18076305
ASAH1	ENST00000637898	8	18069461	18084088
ASAH1	ENST00000637922	8	18056462	18076037
ASAH1	ENST00000637946	8	18071327	18084851
ASAH1	ENST00000637991	8	18056456	18084961
ASAH1	ENST00000638028	8	18056546	18063143
ASAH1	ENST00000638069	8	18056475	18084114
PIGA	ENST00000638131	X	15319500	15335544
PIGQ	ENST00000638143	16	575946	580922
ST3GAL5	ENST00000638178	2	85839204	85888685
ST3GAL5	ENST00000638227	2	85839194	85889000
ST3GAL5	ENST00000638258	2	85863373	85902609
MGAT4B	ENST00000638265	CHR_HG30_PATCH	179800378	179807196
MGAT4B	ENST00000638266	CHR_HG30_PATCH	179798476	179807728
ST3GAL5	ENST00000638288	2	85839206	85888721
ST3GAL5	ENST00000638321	2	85839196	85863464
SLC35A3	ENST00000638336	1	99970006	100024014
SLC35A3	ENST00000638338	1	99970036	100026636
SLC35A3	ENST00000638371	1	99969351	100027722
MGAT4B	ENST00000638393	CHR_HG30_PATCH	179798476	179802775
SLC35F5	ENST00000638402	2	113717775	113755876
UGGT2	ENST00000638479	13	95995353	96053482
ST3GAL5	ENST00000638484	2	85839196	85888958
ST3GAL5	ENST00000638523	2	85839883	85863464
ST3GAL5	ENST00000638542	2	85839196	85888958
MGAT4B	ENST00000638561	CHR_HG30_PATCH	179799031	179802255
ST3GAL5	ENST00000638572	2	85837120	85888990
ST3GAL5	ENST00000638581	2	85840065	85870179
ST3GAL5	ENST00000638659	2	85839169	85888904
ST3GAL5	ENST00000638678	2	85839196	85888903
MGAT4B	ENST00000638793	CHR_HG30_PATCH	179800846	179802981
DPAGT1	ENST00000638850	11	119096596	119100408
ST3GAL5	ENST00000638855	2	85839204	85889000
SLC35A3	ENST00000638876	1	99970046	100015692
ST3GAL5	ENST00000638885	2	85839196	85888939
MGAT4B	ENST00000638910	CHR_HG30_PATCH	179800372	179801455
SLC35A3	ENST00000638929	1	99970031	100009576
ST3GAL5	ENST00000638956	2	85839210	85889037
ST3GAL5	ENST00000638986	2	85839206	85888910
SLC35A3	ENST00000638988	1	99970024	100015697
ST3GAL5	ENST00000639074	2	85839196	85850934
SLC35A3	ENST00000639088	1	99970033	100027712
ST3GAL5	ENST00000639119	2	85839169	85888963
SLC35A3	ENST00000639148	1	99993546	100023411
ST3GAL5	ENST00000639184	2	85839196	85888747
ST3GAL5	ENST00000639202	2	85840358	85863450
ST3GAL5	ENST00000639216	2	85839641	85870175
SLC35A3	ENST00000639221	1	99970005	100022611
ST3GAL5	ENST00000639305	2	85839206	85888903
ST3GAL5	ENST00000639311	2	85839169	85888906
COG5	ENST00000639330	CHR_HG2266_PATCH	107207848	107564394
ST3GAL5	ENST00000639421	2	85846448	85888905
ST3GAL5	ENST00000639432	2	85839196	85888401
COG5	ENST00000639445	CHR_HG2266_PATCH	107527370	107564067
ST3GAL5	ENST00000639472	2	85839189	85846253
ST3GAL5	ENST00000639519	2	85847997	85863369
MGAT4B	ENST00000639538	CHR_HG30_PATCH	179798463	179803864
ST3GAL5	ENST00000639541	2	85839206	85888997
COG5	ENST00000639557	CHR_HG2266_PATCH	107202564	107564647
ST3GAL5	ENST00000639608	2	85839206	85888990
UGT2B4	ENST00000639621	4	69486561	69495908
NDST2	ENST00000639645	10	73802715	73808388
COG5	ENST00000639672	CHR_HG2266_PATCH	107548131	107548465
ST3GAL5	ENST00000639690	2	85848102	85870253
DPAGT1	ENST00000639704	11	119096595	119101837
ST3GAL5	ENST00000639743	2	85839194	85856448
MGAT4B	ENST00000639781	CHR_HG30_PATCH	179800590	179801297
MGAT4B	ENST00000639782	CHR_HG30_PATCH	179798463	179802233
SLC35A3	ENST00000639807	1	99970006	100026472
ST3GAL5	ENST00000639820	2	85839196	85888959
MGAT4B	ENST00000639827	CHR_HG30_PATCH	179799273	179801811
ST3GAL5	ENST00000639867	2	85837628	85850929
MGAT4B	ENST00000639910	CHR_HG30_PATCH	179802241	179807192
ST3GAL5	ENST00000639945	2	85839210	85888908
ST3GAL5	ENST00000639981	2	85839224	85863473
SLC35A3	ENST00000639994	1	99970020	100017881
ST3GAL5	ENST00000640024	2	85839196	85888967
UGP2	ENST00000640075	2	63841880	63859211
DPAGT1	ENST00000640102	11	119097140	119101824
MGAT4B	ENST00000640165	CHR_HG30_PATCH	179802200	179807814
SLC35A3	ENST00000640178	1	99970024	100023942
ST3GAL5	ENST00000640222	2	85839198	85888826
COG5	ENST00000640273	CHR_HG2266_PATCH	107372603	107549392
ST3GAL5	ENST00000640295	2	85839196	85888905
MGAT4B	ENST00000640299	CHR_HG30_PATCH	179798537	179800502
ST3GAL5	ENST00000640314	2	85839282	85888881
ST3GAL5	ENST00000640315	2	85839189	85888881
ST3GAL5	ENST00000640322	2	85839150	85902543
ST3GAL5	ENST00000640336	2	85844407	85846791
MGAT4B	ENST00000640350	CHR_HG30_PATCH	179798812	179801805
SLC35A3	ENST00000640360	1	99970024	100026186
ST3GAL5	ENST00000640378	2	85839149	85861231
ST3GAL5	ENST00000640418	2	85839188	85905199
ST3GAL5	ENST00000640425	2	85839196	85888888
ST3GAL5	ENST00000640453	2	85839196	85850198
MGAT4B	ENST00000640509	CHR_HG30_PATCH	179802673	179807186
HS6ST2	ENST00000640529	X	132628852	132957277
ST3GAL5	ENST00000640572	2	85839265	85888888
ST3GAL5	ENST00000640594	2	85839196	85888954
SLC35A3	ENST00000640600	1	99970033	100026851
MGAT4B	ENST00000640602	CHR_HG30_PATCH	179801804	179807416
MGAT4B	ENST00000640644	CHR_HG30_PATCH	179801350	179804642
ST3GAL5	ENST00000640712	2	85839151	85855525
SLC35A3	ENST00000640715	1	99970013	100023453
SLC35A3	ENST00000640726	1	99970016	100027689
SLC35A3	ENST00000640732	1	99970030	100023247
DPAGT1	ENST00000640747	11	119096597	119101856
ST3GAL5	ENST00000640763	2	85839178	85861217
MGAT4B	ENST00000640786	CHR_HG30_PATCH	179798750	179800442
ST3GAL5	ENST00000640798	2	85839196	85854175
MGAT4B	ENST00000640809	CHR_HG30_PATCH	179799031	179801463
MGAT4B	ENST00000640818	CHR_HG30_PATCH	179800162	179801863
COG5	ENST00000640820	CHR_HG2266_PATCH	107201555	107564173
ST3GAL5	ENST00000640835	2	85839814	85863449
ST3GAL5	ENST00000640849	2	85844408	85863462
ST3GAL5	ENST00000640903	2	85839263	85870239
ST3GAL5	ENST00000640982	2	85839196	85888762
ST3GAL5	ENST00000640992	2	85839196	85888776
ST3GAL3	ENST00000642194	1	43736233	43931127
GPI	ENST00000642240	19	34363318	34368620
MANBA	ENST00000642252	4	102631582	102760983
ST3GAL3	ENST00000642331	1	43707536	43931151
GNE	ENST00000642385	9	36214441	36258448
A4GALT	ENST00000642412	22	42692121	42720870
ST3GAL3	ENST00000642504	1	43707553	43930847
CMAHP	ENST00000642554	6	25107830	25232608
GCNT2	ENST00000642674	CHR_HG2057_PATCH	10492224	10626972
GCNT2	ENST00000642698	CHR_HG2057_PATCH	10528356	10629367
ST3GAL3	ENST00000642780	1	43814927	43930953
GCNT2	ENST00000642876	CHR_HG2057_PATCH	10521351	10626616
ST3GAL3	ENST00000642934	1	43707543	43931139
ST3GAL3	ENST00000642949	1	43707545	43931160
GPI	ENST00000643067	19	34365562	34400328
ST3GAL3	ENST00000643252	1	43707536	43931131
ST3GAL3	ENST00000643283	1	43707543	43931077
HK1	ENST00000643399	10	69278496	69401882
CMAHP	ENST00000643481	6	25113693	25261410
GCNT2	ENST00000643503	CHR_HG2057_PATCH	10556007	10629367
ST3GAL3	ENST00000643597	1	43707524	43931141
CMAHP	ENST00000643807	6	25081109	25452184
ST3GAL3	ENST00000643813	1	43736341	43931146
ST3GAL3	ENST00000643886	1	43707524	43894416
SLC35E2A	ENST00000643905	1	1727386	1745999
SLC35E2A	ENST00000643943	1	1734690	1739557
ST3GAL3	ENST00000643989	1	43899225	43917029
ST3GAL3	ENST00000644016	1	43894143	43931131
GCNT2	ENST00000644083	CHR_HG2057_PATCH	10521283	10629368
MANBA	ENST00000644159	4	102630770	102760982
ST3GAL3	ENST00000644195	1	43707841	43931129
GBGT1	ENST00000644196	9	133160011	133163702
ST3GAL3	ENST00000644287	1	43736369	43931092
ST3GAL3	ENST00000644378	1	43894237	43930765
ABO	ENST00000644422	CHR_HG2030_PATCH	133255585	133275349
GCNT2	ENST00000644492	CHR_HG2057_PATCH	10585746	10629368
GCNT2	ENST00000644503	CHR_HG2057_PATCH	10529812	10621645
MANBA	ENST00000644545	4	102631546	102760992
ST3GAL3	ENST00000644645	1	43838250	43931139
ABO	ENST00000644755	CHR_HG2030_PATCH	133255752	133275337
ST3GAL3	ENST00000644922	1	43736341	43931139
SLC35B3	ENST00000644923	6	8413094	8435611
MANBA	ENST00000644965	4	102722963	102760934
ST3GAL3	ENST00000645012	1	43899336	43930282
ST3GAL3	ENST00000645034	1	43707648	43922584
ST3GAL3	ENST00000645117	1	43736279	43930760
ST3GAL3	ENST00000645142	1	43707547	43931146
ST3GAL3	ENST00000645161	1	43894385	43914639
ST3GAL3	ENST00000645165	1	43707685	43931141
GCNT2	ENST00000645343	CHR_HG2057_PATCH	10492223	10627222
MANBA	ENST00000645348	4	102631749	102760952
ST3GAL3	ENST00000645394	1	43707572	43931009
MANBA	ENST00000645558	4	102631589	102722925
ST3GAL3	ENST00000645640	1	43707543	43931144
ST3GAL3	ENST00000645644	1	43879244	43930838
FUT1	ENST00000645652	19	48748011	48753660
ST3GAL3	ENST00000645705	1	43707547	43931129
ABO	ENST00000645810	CHR_HG2030_PATCH	133255585	133275349
GCNT2	ENST00000645811	CHR_HG2057_PATCH	10529797	10626464
GBGT1	ENST00000645973	9	133161355	133163933
ST3GAL3	ENST00000646027	1	43707549	43931122
ST3GAL3	ENST00000646032	1	43898238	43920485
ST3GAL3	ENST00000646069	1	43707551	43931139
ST3GAL3	ENST00000646096	1	43705824	43894420
ST3GAL3	ENST00000646109	1	43707539	43838283
GBGT1	ENST00000646215	9	133153427	133163914
CTSA	ENST00000646241	20	45891335	45898820
MANBA	ENST00000646311	4	102631549	102760972
GPI	ENST00000646312	19	34365026	34366807
ST3GAL3	ENST00000646416	1	43736263	43842785
MANBA	ENST00000646451	4	102714438	102728606
ST3GAL3	ENST00000646686	1	43736237	43931140
GCNT2	ENST00000646721	CHR_HG2057_PATCH	10521485	10621422
MANBA	ENST00000646727	4	102631495	102760952
GCNT2	ENST00000646770	CHR_HG2057_PATCH	10521332	10626947
ST3GAL3	ENST00000646776	1	43707566	43739322
ST3GAL3	ENST00000646971	1	43707547	43931146
SLC35E2A	ENST00000647043	1	1724838	1745919
MANBA	ENST00000647097	4	102630770	102760968
ST3GAL3	ENST00000647128	1	43707626	43930313
MANBA	ENST00000647129	4	102631563	102723921
ST3GAL3	ENST00000647134	1	43707690	43931151
ST3GAL3	ENST00000647148	1	43707555	43931151
ST3GAL3	ENST00000647237	1	43707536	43931140
ST3GAL3	ENST00000647299	1	43894188	43914621
GPI	ENST00000647446	19	34365222	34400332
ST3GAL3	ENST00000647482	1	43707566	43931122
GCNT2	ENST00000647502	CHR_HG2057_PATCH	10521420	10626557
ST3GAL3	ENST00000647503	1	43792102	43931127
B4GALNT3	ENST00000647602	12	547639	563478
MOGS	ENST00000647723	2	74461126	74465245
MOGS	ENST00000647753	2	74461258	74465388
POGLUT1	ENST00000647766	3	119468984	119493825
MOGS	ENST00000647771	2	74461126	74465337
ALG6	ENST00000647818	1	63367575	63437126
MOGS	ENST00000647915	2	74461120	74465400
COG8	ENST00000648169	16	69328621	69339623
ST3GAL1	ENST00000648219	8	133458873	133571887
GANAB	ENST00000648273	11	62624951	62646606
MOGS	ENST00000648768	2	74461184	74465327
MOGS	ENST00000648810	2	74461120	74465404
GALNT8	ENST00000648865	12	4746418	4773144
SLC35B3	ENST00000648867	6	8413074	8435561
ALG6	ENST00000648964	1	63367603	63437176
SLC35B3	ENST00000648987	6	8412885	8435271
ST8SIA6	ENST00000648997	10	17320346	17454196
MOGS	ENST00000649075	2	74461106	74465400
GLA	ENST00000649178	X	101397807	101407912
ALG11	ENST00000649340	13	52012411	52032171
CHST6	ENST00000649341	16	75473361	75495445
STT3A	ENST00000649491	11	125592858	125622721
ALG6	ENST00000649570	1	63367643	63437176
MOGS	ENST00000649601	2	74461102	74465362
ALG11	ENST00000649651	13	52012411	52024204
TPST1	ENST00000649664	7	66205385	66360426
ALG11	ENST00000649708	13	52012404	52024446
MOGS	ENST00000649777	2	74461223	74465283
SLC35B3	ENST00000649788	6	8411463	8435537
CHST6	ENST00000649824	16	75473181	75495308
MOGS	ENST00000649854	2	74461118	74465162
SLC35B1	ENST00000649906	17	49700934	49707951
ALG11	ENST00000650049	13	52019103	52028689
SLC35D2	ENST00000650065	9	96313444	96364537
ALG1	ENST00000650085	16	5033923	5085532
GNPNAT1	ENST00000650397	14	52775688	52791483
ALG6	ENST00000650469	1	63367627	63402273
ALG6	ENST00000650494	1	63367627	63429075
MOGS	ENST00000650523	2	74462279	74465294
PGM1	ENST00000650546	1	63593411	63660209
B3GALNT1	ENST00000650695	3	161083902	161105078
B3GALNT1	ENST00000650733	3	161084265	161105267
CHST8	ENST00000650847	19	33621953	33773506
B3GALNT1	ENST00000651117	3	161083934	161105384
B3GALNT1	ENST00000651147	3	161085167	161105303
B3GALNT1	ENST00000651178	3	161084014	161105226
B3GALNT1	ENST00000651254	3	161083940	161105224
B3GALNT1	ENST00000651282	3	161084120	161105256
B3GALNT1	ENST00000651292	3	161083920	161105248
B3GALNT1	ENST00000651305	3	161085050	161105247
B3GALNT1	ENST00000651379	3	161083908	161104994
B3GALNT1	ENST00000651380	3	161083920	161105261
B3GALNT1	ENST00000651422	3	161085239	161092179
B3GALNT1	ENST00000651430	3	161083901	161105078
B3GALNT1	ENST00000651460	3	161083908	161105323
ABO	ENST00000651471	9	133256106	133276024
B3GALNT1	ENST00000651509	3	161085006	161105328
B3GALNT1	ENST00000651686	3	161083908	161105338
B3GALNT1	ENST00000651689	3	161083922	161105078
B3GALNT1	ENST00000651791	3	161083930	161105376
B3GALNT1	ENST00000651801	3	161083907	161105336
B3GALNT1	ENST00000651916	3	161084017	161105090
B3GALNT1	ENST00000651953	3	161083913	161105305
B3GALNT1	ENST00000651972	3	161083911	161105314
B3GALNT1	ENST00000652032	3	161085684	161105384
B3GALNT1	ENST00000652059	3	161083922	161105326
IDUA	ENST00000652070	4	999710	1004505
B3GALNT1	ENST00000652111	3	161083908	161105248
B3GALNT1	ENST00000652134	3	161084302	161101734
B3GALNT1	ENST00000652143	3	161084249	161105292
B3GALNT1	ENST00000652309	3	161086001	161104460
GCNT4	ENST00000652361	5	75025346	75052558
B3GALNT1	ENST00000652377	3	161084148	161105145
B3GALNT1	ENST00000652593	3	161084303	161105411
B3GALNT1	ENST00000652596	3	161085159	161105245
B3GALNT1	ENST00000652669	3	161085092	161105170
B3GALNT1	ENST00000652730	3	161083930	161105314
ASAH2	ENST00000656090	10	50187242	50248610
STS	ENST00000658154	X	7147977	7517075
STS	ENST00000660000	X	7147977	7453758
STS	ENST00000664306	X	7147237	7804358
STS	ENST00000666110	X	7147291	7354626
GALNT9	ENST00000671997	CHR_HG2246_HG2248_HG2276_PATCH	132196372	132206028
ARSL	ENST00000672027	X	2934832	2968245
